x, y, T, Tex,
0.000000, 0.000000, 0.000000, 0.000000,
0.000000, 0.015625, 0.000000, 0.000000,
0.000000, 0.031250, 0.000000, 0.000000,
0.000000, 0.046875, 0.000000, 0.000000,
0.000000, 0.062500, 0.000000, 0.000000,
0.000000, 0.078125, 0.000000, 0.000000,
0.000000, 0.093750, 0.000000, 0.000000,
0.000000, 0.109375, 0.000000, 0.000000,
0.000000, 0.125000, 0.000000, 0.000000,
0.000000, 0.140625, 0.000000, 0.000000,
0.000000, 0.156250, 0.000000, 0.000000,
0.000000, 0.171875, 0.000000, 0.000000,
0.000000, 0.187500, 0.000000, 0.000000,
0.000000, 0.203125, 0.000000, 0.000000,
0.000000, 0.218750, 0.000000, 0.000000,
0.000000, 0.234375, 0.000000, 0.000000,
0.000000, 0.250000, 0.000000, 0.000000,
0.000000, 0.265625, 0.000000, 0.000000,
0.000000, 0.281250, 0.000000, 0.000000,
0.000000, 0.296875, 0.000000, 0.000000,
0.000000, 0.312500, 0.000000, 0.000000,
0.000000, 0.328125, 0.000000, 0.000000,
0.000000, 0.343750, 0.000000, 0.000000,
0.000000, 0.359375, 0.000000, 0.000000,
0.000000, 0.375000, 0.000000, 0.000000,
0.000000, 0.390625, 0.000000, 0.000000,
0.000000, 0.406250, 0.000000, 0.000000,
0.000000, 0.421875, 0.000000, 0.000000,
0.000000, 0.437500, 0.000000, 0.000000,
0.000000, 0.453125, 0.000000, 0.000000,
0.000000, 0.468750, 0.000000, 0.000000,
0.000000, 0.484375, 0.000000, 0.000000,
0.000000, 0.500000, 0.000000, 0.000000,
0.015625, 0.000000, 0.015382, 0.015381,
0.015625, 0.015625, 0.015364, 0.015362,
0.015625, 0.031250, 0.015308, 0.015307,
0.015625, 0.046875, 0.015216, 0.015214,
0.015625, 0.062500, 0.015087, 0.015085,
0.015625, 0.078125, 0.014921, 0.014920,
0.015625, 0.093750, 0.014720, 0.014719,
0.015625, 0.109375, 0.014483, 0.014482,
0.015625, 0.125000, 0.014211, 0.014210,
0.015625, 0.140625, 0.013905, 0.013904,
0.015625, 0.156250, 0.013566, 0.013565,
0.015625, 0.171875, 0.013194, 0.013193,
0.015625, 0.187500, 0.012790, 0.012789,
0.015625, 0.203125, 0.012355, 0.012354,
0.015625, 0.218750, 0.011891, 0.011890,
0.015625, 0.234375, 0.011397, 0.011396,
0.015625, 0.250000, 0.010877, 0.010876,
0.015625, 0.265625, 0.010330, 0.010329,
0.015625, 0.281250, 0.009758, 0.009758,
0.015625, 0.296875, 0.009163, 0.009162,
0.015625, 0.312500, 0.008546, 0.008545,
0.015625, 0.328125, 0.007908, 0.007907,
0.015625, 0.343750, 0.007251, 0.007250,
0.015625, 0.359375, 0.006577, 0.006576,
0.015625, 0.375000, 0.005886, 0.005886,
0.015625, 0.390625, 0.005182, 0.005182,
0.015625, 0.406250, 0.004465, 0.004465,
0.015625, 0.421875, 0.003738, 0.003737,
0.015625, 0.437500, 0.003001, 0.003001,
0.015625, 0.453125, 0.002257, 0.002257,
0.015625, 0.468750, 0.001508, 0.001508,
0.015625, 0.484375, 0.000755, 0.000755,
0.015625, 0.500000, 0.000000, 0.000000,
0.031250, 0.000000, 0.030276, 0.030273,
0.031250, 0.015625, 0.030240, 0.030237,
0.031250, 0.031250, 0.030130, 0.030128,
0.031250, 0.046875, 0.029948, 0.029946,
0.031250, 0.062500, 0.029694, 0.029692,
0.031250, 0.078125, 0.029369, 0.029366,
0.031250, 0.093750, 0.028972, 0.028970,
0.031250, 0.109375, 0.028506, 0.028504,
0.031250, 0.125000, 0.027971, 0.027969,
0.031250, 0.140625, 0.027369, 0.027367,
0.031250, 0.156250, 0.026701, 0.026699,
0.031250, 0.171875, 0.025969, 0.025966,
0.031250, 0.187500, 0.025174, 0.025171,
0.031250, 0.203125, 0.024318, 0.024316,
0.031250, 0.218750, 0.023404, 0.023402,
0.031250, 0.234375, 0.022433, 0.022431,
0.031250, 0.250000, 0.021408, 0.021407,
0.031250, 0.265625, 0.020332, 0.020330,
0.031250, 0.281250, 0.019207, 0.019205,
0.031250, 0.296875, 0.018035, 0.018034,
0.031250, 0.312500, 0.016820, 0.016819,
0.031250, 0.328125, 0.015565, 0.015564,
0.031250, 0.343750, 0.014272, 0.014271,
0.031250, 0.359375, 0.012945, 0.012944,
0.031250, 0.375000, 0.011586, 0.011585,
0.031250, 0.390625, 0.010200, 0.010199,
0.031250, 0.406250, 0.008789, 0.008788,
0.031250, 0.421875, 0.007356, 0.007356,
0.031250, 0.437500, 0.005907, 0.005906,
0.031250, 0.453125, 0.004442, 0.004442,
0.031250, 0.468750, 0.002968, 0.002967,
0.031250, 0.484375, 0.001486, 0.001485,
0.031250, 0.500000, 0.000000, 0.000000,
0.046875, 0.000000, 0.044682, 0.044678,
0.046875, 0.015625, 0.044628, 0.044624,
0.046875, 0.031250, 0.044466, 0.044463,
0.046875, 0.046875, 0.044198, 0.044194,
0.046875, 0.062500, 0.043823, 0.043819,
0.046875, 0.078125, 0.043343, 0.043339,
0.046875, 0.093750, 0.042758, 0.042754,
0.046875, 0.109375, 0.042070, 0.042066,
0.046875, 0.125000, 0.041280, 0.041277,
0.046875, 0.140625, 0.040392, 0.040388,
0.046875, 0.156250, 0.039406, 0.039402,
0.046875, 0.171875, 0.038325, 0.038321,
0.046875, 0.187500, 0.037151, 0.037148,
0.046875, 0.203125, 0.035889, 0.035885,
0.046875, 0.218750, 0.034539, 0.034536,
0.046875, 0.234375, 0.033107, 0.033104,
0.046875, 0.250000, 0.031595, 0.031592,
0.046875, 0.265625, 0.030006, 0.030004,
0.046875, 0.281250, 0.028346, 0.028343,
0.046875, 0.296875, 0.026617, 0.026614,
0.046875, 0.312500, 0.024824, 0.024822,
