x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.004143e+00
1.010101e-02, 8.054090e-01, 2.233011e-01, 7.569618e-01, 2.349619e+00, 1.004143e+00
2.020202e-02, 7.099156e-01, 3.557063e-01, 6.405844e-01, 2.255847e+00, 1.004143e+00
3.030303e-02, 6.607625e-01, 4.329393e-01, 5.808895e-01, 2.197800e+00, 1.004143e+00
4.040404e-02, 6.269718e-01, 4.887860e-01, 5.407648e-01, 2.156256e+00, 1.004143e+00
5.050505e-02, 6.106324e-01, 5.185531e-01, 5.206535e-01, 2.131616e+00, 1.004143e+00
6.060606e-02, 5.936847e-01, 5.484990e-01, 5.008338e-01, 2.109006e+00, 1.004143e+00
7.070707e-02, 5.880563e-01, 5.604200e-01, 4.933451e-01, 2.097355e+00, 1.004143e+00
8.080808e-02, 5.768143e-01, 5.808581e-01, 4.803476e-01, 2.081899e+00, 1.004143e+00
9.090909e-02, 5.751989e-01, 5.856901e-01, 4.775082e-01, 2.075405e+00, 1.004143e+00
1.010101e-01, 5.660899e-01, 6.025005e-01, 4.670782e-01, 2.062739e+00, 1.004143e+00
1.111111e-01, 5.660630e-01, 6.044538e-01, 4.660489e-01, 2.058291e+00, 1.004143e+00
1.212121e-01, 5.578174e-01, 6.198304e-01, 4.566897e-01, 2.046770e+00, 1.004143e+00
1.313131e-01, 5.584307e-01, 6.206052e-01, 4.563773e-01, 2.043124e+00, 1.004143e+00
1.414141e-01, 5.505796e-01, 6.353753e-01, 4.475396e-01, 2.032130e+00, 1.004143e+00
1.515152e-01, 5.514463e-01, 6.356675e-01, 4.475094e-01, 2.028798e+00, 1.004143e+00
1.616162e-01, 5.438156e-01, 6.501402e-01, 4.389895e-01, 2.018099e+00, 1.004143e+00
1.717172e-01, 5.447720e-01, 6.502365e-01, 4.390661e-01, 2.014907e+00, 1.004143e+00
1.818182e-01, 5.372994e-01, 6.645213e-01, 4.307894e-01, 2.004420e+00, 1.004143e+00
1.919192e-01, 5.382720e-01, 6.645402e-01, 4.309018e-01, 2.001320e+00, 1.004143e+00
2.020202e-01, 5.309379e-01, 6.786696e-01, 4.228430e-01, 1.991019e+00, 1.004143e+00
2.121212e-01, 5.318906e-01, 6.786603e-01, 4.229625e-01, 1.988015e+00, 1.004143e+00
2.222222e-01, 5.246927e-01, 6.926358e-01, 4.151148e-01, 1.977895e+00, 1.004143e+00
2.323232e-01, 5.256054e-01, 6.926185e-01, 4.152302e-01, 1.975009e+00, 1.004143e+00
2.424242e-01, 5.185483e-01, 7.064287e-01, 4.075943e-01, 1.965074e+00, 1.004143e+00
2.525253e-01, 5.194085e-01, 7.064121e-01, 4.077014e-01, 1.962335e+00, 1.004143e+00
2.626263e-01, 5.125002e-01, 7.200394e-01, 4.002814e-01, 1.952591e+00, 1.004143e+00
2.727273e-01, 5.132994e-01, 7.200270e-01, 4.003790e-01, 1.950026e+00, 1.004143e+00
2.828283e-01, 5.065496e-01, 7.334504e-01, 3.931802e-01, 1.940482e+00, 1.004143e+00
2.929293e-01, 5.072827e-01, 7.334436e-01, 3.932684e-01, 1.938113e+00, 1.004143e+00
3.030303e-01, 5.007019e-01, 7.466391e-01, 3.862972e-01, 1.928778e+00, 1.004143e+00
3.131313e-01, 5.013660e-01, 7.466385e-01, 3.863767e-01, 1.926620e+00, 1.004143e+00
3.232323e-01, 4.949656e-01, 7.595798e-01, 3.796400e-01, 1.917507e+00, 1.004143e+00
3.333333e-01, 4.955600e-01, 7.595856e-01, 3.797117e-01, 1.915569e+00, 1.004143e+00
3.434343e-01, 4.893520e-01, 7.722443e-01, 3.732173e-01, 1.906692e+00, 1.004143e+00
3.535354e-01, 4.898777e-01, 7.722565e-01, 3.732822e-01, 1.904976e+00, 1.004143e+00
3.636364e-01, 4.838744e-01, 7.846015e-01, 3.670382e-01, 1.896350e+00, 1.004143e+00
3.737374e-01, 4.843343e-01, 7.846202e-01, 3.670971e-01, 1.894854e+00, 1.004143e+00
3.838384e-01, 4.785482e-01, 7.966185e-01, 3.611121e-01, 1.886498e+00, 1.004143e+00
3.939394e-01, 4.789462e-01, 7.966436e-01, 3.611661e-01, 1.885212e+00, 1.004143e+00
4.040404e-01, 4.733902e-01, 8.082603e-01, 3.554490e-01, 1.877146e+00, 1.004143e+00
4.141414e-01, 4.737311e-01, 8.082919e-01, 3.554989e-01, 1.876059e+00, 1.004143e+00
4.242424e-01, 4.684179e-01, 8.194904e-01, 3.500590e-01, 1.868305e+00, 1.004143e+00
4.343434e-01, 4.687073e-01, 8.195286e-01, 3.501055e-01, 1.867399e+00, 1.004143e+00
4.444444e-01, 4.636494e-01, 8.302713e-01, 3.449518e-01, 1.859982e+00, 1.004143e+00
4.545455e-01, 4.638930e-01, 8.303162e-01, 3.449955e-01, 1.859241e+00, 1.004143e+00
4.646465e-01, 4.591025e-01, 8.405651e-01, 3.401371e-01, 1.852185e+00, 1.004143e+00
4.747475e-01, 4.593061e-01, 8.406173e-01, 3.401783e-01, 1.851589e+00, 1.004143e+00
4.848485e-01, 4.547941e-01, 8.503350e-01, 3.356235e-01, 1.844920e+00, 1.004143e+00
4.949495e-01, 4.549630e-01, 8.503952e-01, 3.356625e-01, 1.844449e+00, 1.004143e+00
